Certificate
 
PG-13
R
PG-13
R
 
PG-13
PG-13
 
 
R
 
 
PG-13
PG
PG-13
PG-13
 
 
 
PG-13
 
R
 
 
 
PG
R
 
 
 
PG-13
R
 
PG-13
R
R
PG-13
PG
R
PG-13
 
 
PG
 
PG-13
R
PG-13
R
 
 
PG-13
R
 
PG-13
R
R
PG-13
 
 
PG-13
PG-13
 
PG-13
PG-13
PG-13
 
 
 
 
PG-13
PG-13
R
PG-13
PG-13
R
PG-13
R
R
PG
R
PG-13
PG-13
PG-13
PG-13
R
R
PG-13
 
PG-13
PG-13
R
PG-13
R
R
R
R
PG-13
R
 
PG-13
PG-13
 
R
PG-13
 
PG-13
 
R
R
PG-13
PG-13
R
R
R
 
PG
 
PG-13
 
PG-13
R
 
 
 
 
R
R
PG-13
R
 
PG
R
PG-13
 
 
R
 
PG-13
PG-13
PG-13
 
PG-13
R
 
PG-13
R
R
PG-13
 
 
R
PG-13
R
R
R
PG
PG-13
 
PG-13
 
 
 
 
PG-13
 
PG
PG-13
 
R
R
 
PG-13
 
PG-13
 
 
 
R
 
 
 
PG-13
PG-13
(Banned)
PG-13
 
 
 
 
PG-13
R
 
 
 
 
R
PG-13
R
PG-13
R
 
R
R
R
R
R
R
R
PG-13
 
R
 
PG-13
 
R
PG-13
R
PG
 
R
 
 
PG-13
PG-13
R
 
PG-13
R
R
R
 
PG-13
 
 
PG-13
 
R
 
PG-13
 
PG-13
 
 
R
R
R
 
PG
R
PG
 
 
R
 
PG-13
PG-13
PG-13
PG-13
 
PG-13
PG-13
R
R
 
 
 
R
R
PG
PG-13
 
R
 
PG
 
R
PG-13
 
 
R
 
PG-13
PG-13
PG-13
PG-13
 
 
 
R
R
 
R
 
PG-13
R
PG
PG
PG-13
PG-13
PG-13
 
R
PG
PG-13
 
PG-13
R
 
PG-13
PG-13
R
 
R
 
R
R
PG-13
 
 
PG-13
R
PG-13
PG-13
PG-13
 
PG
 
PG
PG-13
R
 
 
PG-13
 
PG-13
 
R
PG-13
R
 
R
 
(Banned)
 
 
R
PG-13
PG-13
PG-13
R
 
R
PG-13
PG-13
R
PG-13
 
PG-13
 
PG-13
 
PG-13
 
PG-13
PG
 
 
PG-13
PG-13
 
 
R
R
R
R
PG-13
PG-13
PG-13
R
R
 
 
PG-13
 
 
 
PG-13
PG-13
PG-13
PG-13
 
 
PG
 
R
 
PG-13
PG-13
PG
R
 
PG-13
 
PG
 
 
R
R
R
 
 
R
 
PG-13
 
 
R
PG-13
 
PG
PG-13
 
 
R
PG-13
 
PG-13
PG
PG-13
R
 
R
R
 
PG-13
 
PG-13
 
 
R
 
PG-13
R
 
 
R
 
 
PG-13
 
PG-13
PG-13
PG-13
 
 
R
 
 
PG
PG
PG
R
 
 
 
PG-13
 
PG-13
R
 
PG-13
R
 
R
 
R
 
PG-13
PG
R
 
 
PG-13
 
 
R
R
R
R
R
PG-13
PG-13
 
 
R
PG
 
PG
 
PG-13
R
 
 
 
PG-13
PG-13
R
 
 
 
PG-13
R
R
R
PG-13
PG
 
 
 
PG-13
PG
R
R
R
PG-13
 
 
PG-13
R
 
PG
PG-13
PG-13
PG-13
R
 
 
PG-13
 
R
PG-13
PG-13
R
 
 
PG-13
PG-13
 
R
R
PG-13
PG-13
R
R
PG
R
 
R
 
 
 
PG
 
 
PG-13
PG
 
R
PG-13
PG
PG-13
 
 
 
 
PG
 
R
PG-13
 
PG-13
 
R
 
 
 
PG-13
 
R
PG-13
 
 
R
 
R
R
R
PG-13
R
 
PG-13
R
 
R
PG-13
 
R
R
 
 
 
 
 
 
PG-13
 
R
R
R
PG
R
 
R
 
 
 
 
PG-13
 
PG-13
PG-13
 
 
R
R
 
 
R
PG-13
PG-13
R
 
R
PG-13
R
R
 
PG
 
 
 
PG-13
PG-13
PG-13
R
 
 
 
 
PG
PG
 
R
R
 
 
R
R
R
PG-13
R
PG
PG-13
PG-13
 
 
R
R
PG-13
 
 
 
PG-13
PG
 
R
PG-13
M
 
R
 
PG-13
PG-13
PG-13
 
 
 
R
 
 
PG-13
 
 
R
R
 
R
 
PG-13
R
 
PG
PG-13
R
R
R
PG
R
 
R
PG-13
 
 
R
 
 
PG
 
 
 
PG-13
PG-13
 
 
 
 
 
 
 
PG-13
 
 
R
 
R
PG-13
R
 
 
 
R
PG-13
 
 
R
 
PG-13
 
 
PG-13
 
R
PG
PG-13
PG-13
PG-13
 
 
 
PG-13
 
 
R
 
 
 
PG-13
R
R
PG-13
R
PG-13
R
PG-13
 
PG
R
 
 
R
 
 
PG-13
 
PG-13
PG
 
R
 
 
PG-13
R
 
R
 
 
R
 
R
 
PG-13
 
PG-13
R
PG
 
PG
 
 
 
PG-13
R
PG-13
R
PG
R
 
 
R
R
 
PG-13
PG
 
 
R
PG-13
PG-13
 
R
PG-13
PG
 
 
PG-13
R
 
PG-13
 
 
 
 
 
PG-13
PG-13
PG-13
PG-13
 
 
R
R
 
 
 
 
 
 
 
 
R
PG-13
R
R
 
R
R
 
R
 
 
PG-13
 
PG-13
 
 
PG-13
PG-13
R
PG-13
PG-13
 
R
PG-13
PG-13
 
 
PG
PG-13
R
R
 
R
PG-13
PG
 
 
R
PG-13
PG
PG-13
 
 
R
 
 
 
 
PG-13
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
R
PG-13
 
 
 
PG-13
 
R
R
R
R
 
R
R
PG
 
 
PG
R
 
R
 
 
 
 
PG-13
R
 
 
PG-13
PG
R
 
R
 
R
 
PG-13
 
 
 
 
PG-13
 
R
 
 
R
R
PG
PG-13
 
R
R
R
R
 
R
 
 
 
PG-13
 
R
R
PG-13
PG-13
 
 
 
R
PG-13
 
R
 
 
PG-13
 
PG-13
 
 
 
 
R
R
 
R
R
R
 
 
R
 
 
PG
R
PG-13
R
 
R
M/PG
R
R
PG-13
 
 
R
 
 
 
R
PG-13
R
R
 
PG
R
R
 
 
 
PG
PG-13
 
 
PG-13
R
 
PG-13
PG-13
R
 
 
 
PG
 
R
 
 
PG-13
R
 
PG-13
 
 
PG-13
 
PG
 
PG-13
 
 
R
R
 
R
 
 
R
PG-13
 
 
 
 
 
PG-13
R
R
PG-13
 
PG-13
 
 
 
PG-13
R
PG
PG-13
 
PG-13
 
 
R
PG-13
 
PG
Not Rated
 
 
PG-13
 
PG-13
R
 
 
R
R
 
 
 
 
 
 
 
 
 
 
R
R
R
PG-13
R
 
 
R
 
R
PG-13
R
PG-13
 
 
 
R
 
PG-13
PG-13
 
R
 
PG-13
 
 
R
 
PG-13
 
 
 
PG-13
 
R
 
PG-13
R
 
R
 
 
PG
PG-13
R
 
PG-13
 
PG-13
 
 
 
PG-13
 
R
 
PG
 
R
PG-13
PG
R
 
 
PG-13
R
 
 
R
R
PG
 
 
PG-13
 
R
R
R
 
 
R
R
R
PG-13
R
 
 
 
 
 
 
 
PG-13
R
 
 
R
 
PG-13
R
PG
 
 
 
 
 
R
PG-13
 
 
 
PG-13
 
R
 
 
R
 
PG-13
 
R
R
 
PG-13
 
 
R
 
 
PG
PG-13
 
 
R
R
R
 
 
 
R
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
R
R
 
PG-13
 
 
PG-13
 
R
PG-13
R
 
R
 
 
R
PG-13
 
R
PG
 
R
PG
 
 
 
 
 
 
PG-13
PG-13
 
 
R
PG-13
R
R
PG-13
R
PG-13
R
 
PG-13
 
 
R
 
 
PG-13
 
 
R
 
R
R
 
R
R
 
R
R
PG-13
 
 
 
 
R
PG-13
 
PG-13
 
PG-13
 
 
 
R
 
 
PG-13
R
 
 
 
 
 
 
 
 
PG-13
PG-13
 
 
 
 
 
 
 
 
 
R
R
R
R
R
 
R
 
 
 
 
 
 
 
PG-13
 
 
 
 
 
 
 
 
 
 
R
R
R
PG
R
R
 
 
R
 
 
 
PG
R
 
 
R
R
R
R
 
 
R
 
 
 
 
 
PG-13
R
 
R
R
PG-13
PG-13
PG-13
 
R
 
 
PG-13
R
 
 
 
R
PG
 
PG-13
R
R
 
R
 
 
 
PG-13
R
PG-13
 
PG
 
PG
 
 
PG-13
 
 
PG-13
 
R
R
 
R
 
R
 
PG-13
 
PG-13
 
 
 
PG-13
R
 
 
 
 
PG-13
R
R
 
 
 
 
 
R
 
R
 
PG-13
 
R
 
R
 
 
PG-13
PG-13
 
 
 
 
PG-13
R
R
 
R
R
 
 
R
 
R
R
R
R
 
 
R
R
 
 
 
R
R
 
 
PG-13
 
R
R
PG-13
 
R
 
 
 
 
PG
 
R
 
R
 
R
 
PG-13
 
PG
 
PG-13
R
 
R
R
R
R
 
 
PG
 
 
R
 
PG-13
 
PG-13
 
R
 
 
 
 
 
 
 
R
 
R
PG-13
 
 
PG
 
R
 
R
 
R
 
 
 
 
 
PG-13
R
 
PG
R
 
 
PG
 
PG-13
R
 
 
 
PG
 
 
 
R
PG-13
 
R
 
R
R
 
 
 
R
 
 
 
 
 
 
 
R
 
 
R
R
 
 
R
 
PG
 
 
 
 
R
 
PG
 
 
 
 
R
 
R
PG-13
PG-13
 
R
PG
 
 
R
R
R
 
 
R
 
 
 
 
 
R
 
 
R
 
PG-13
 
 
 
PG
R
R
PG-13
 
 
 
 
 
 
R
 
 
 
 
 
R
 
 
 
PG-13
R
 
 
R
PG
R
R
R
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
PG-13
 
 
 
 
 
R
 
PG-13
 
 
 
PG-13
 
R
R
R
PG
R
 
 
 
 
R
 
PG-13
 
R
 
 
 
 
PG-13
 
R
 
 
 
 
R
PG-13
 
 
PG-13
 
 
 
 
R
R
 
 
 
R
R
PG-13
 
 
R
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
R
R
PG-13
PG-13
 
 
 
R
 
 
R
 
 
 
 
R
 
 
PG
 
R
 
 
R
 
PG-13
R
R
PG-13
 
R
PG-13
R
 
 
 
PG
PG-13
NC-17
 
R
 
R
PG
 
 
Unrated
R
 
PG-13
R
 
 
 
 
 
 
R
 
PG-13
 
 
 
 
 
PG
 
 
 
 
 
R
 
 
PG-13
R
 
 
PG-13
 
R
 
 
R
 
R
 
R
 
R
R
R
PG
 
 
PG
 
 
 
 
 
R
R
R
R
 
R
PG-13
 
 
 
R
 
PG-13
 
PG-13
 
 
PG
 
PG-13
 
 
R
 
 
 
 
 
R
PG-13
R
 
 
R
PG-13
R
 
 
 
 
 
 
 
 
PG-13
R
 
 
R
PG
R
R
R
R
R
 
 
 
 
 
 
R
PG-13
 
PG-13
R
 
 
R
PG
R
R
R
 
 
PG-13
 
 
 
R
PG-13
R
PG-13
R
PG-13
 
R
R
 
 
 
 
 
PG-13
 
 
PG-13
 
PG-13
 
R
R
PG-13
R
 
 
PG-13
 
 
 
 
PG-13
PG-13
PG
 
 
R
R
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
R
PG-13
 
R
 
 
R
 
 
 
PG
R
PG-13
 
R
 
 
PG-13
R
 
R
 
R
R
PG-13
 
 
R
 
PG-13
R
R
 
R
 
 
 
 
PG-13
 
R
PG-13
 
 
 
R
 
 
 
R
R
 
 
 
 
 
 
 
 
 
PG
 
 
R
 
 
 
 
 
 
 
 
 
R
 
R
R
 
PG-13
 
 
 
 
 
R
PG-13
R
 
 
 
 
 
R
 
 
 
 
 
 
 
 
PG-13
G
 
 
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
R
PG
 
 
 
 
 
R
 
 
 
R
 
R
R
 
R
 
R
PG-13
 
 
 
 
PG-13
 
 
 
 
 
R
R
 
 
R
R
PG-13
 
R
PG-13
 
R
 
 
PG-13
 
 
 
 
R
R
 
 
PG-13
 
 
 
 
 
 
R
PG-13
 
 
 
R
R
 
 
 
 
R
 
 
PG-13
 
R
R
 
PG-13
 
 
R
 
R
 
 
 
 
 
PG-13
 
 
R
R
 
 
 
PG
 
 
 
PG-13
 
 
 
R
R
 
 
 
 
 
 
R
 
R
 
R
 
R
R
 
 
R
 
 
 
 
PG
 
 
 
 
 
R
 
 
R
 
PG-13
 
R
 
R
 
 
 
 
 
R
 
 
PG-13
 
 
R
 
 
PG
 
R
R
R
R
E
 
R
 
PG-13
 
PG-13
 
 
R
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
R
 
 
 
R
 
 
R
R
 
R
 
 
R
PG-13
 
 
R
R
 
PG-13
 
R
 
 
R
 
PG-13
 
 
R
 
 
 
PG
R
PG-13
R
 
 
 
 
 
R
R
 
 
 
 
 
PG-13
R
 
 
PG-13
 
G
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
R
R
 
 
 
 
R
 
 
 
 
 
R
 
PG-13
PG
R
 
 
 
R
 
 
 
PG-13
R
 
R
 
 
 
 
 
 
 
 
 
 
R
Not Rated
 
 
 
 
 
R
 
 
 
R
 
R
PG
PG-13
 
R
PG-13
 
 
 
R
 
PG-13
 
 
PG
PG-13
 
R
PG-13
R
 
 
 
 
R
R
R
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
PG
R
 
R
 
R
 
R
R
 
 
 
 
R
 
 
PG-13
R
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
R
R
 
PG
 
R
R
 
 
 
R
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
PG
 
 
 
 
R
 
 
 
PG-13
 
R
 
 
PG-13
R
 
 
 
 
 
 
 
 
R
 
 
 
R
R
 
 
 
 
 
 
PG
R
 
 
PG
 
 
 
PG
 
 
R
R
 
 
PG
 
 
R
 
PG-13
PG-13
R
 
R
 
PG-13
R
 
 
 
PG-13
 
 
 
 
 
 
 
 
 
 
 
 
 
PG
 
 
 
R
PG-13
 
 
PG
 
 
 
 
 
PG-13
 
 
 
PG-13
 
 
 
 
 
 
R
R
R
R
 
 
 
R
 
 
 
R
 
PG-13
 
 
 
 
PG-13
 
 
 
 
 
R
 
 
R
R
 
 
PG-13
Not Rated
 
 
 
 
 
 
 
 
 
 
R
 
 
R
 
R
 
 
 
 
 
 
PG-13
 
 
R
 
R
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
PG-13
 
 
 
 
 
 
R
 
PG-13
R
 
R
R
 
 
 
 
 
 
R
 
 
 
PG-13
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
 
 
 
R
 
R
 
R
 
R
 
 
 
R
 
 
 
 
 
Approved
R
R
 
 
 
 
 
 
 
 
PG
 
 
PG
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
PG-13
R
 
 
 
 
 
 
 
 
R
 
 
R
 
 
 
 
 
R
 
 
PG-13
 
PG
 
R
G
 
 
 
 
R
 
R
 
 
 
 
 
 
 
 
R
 
 
PG-13
R
 
 
 
 
 
 
 
 
 
 
R
R
 
 
 
 
PG-13
 
 
PG
 
R
 
 
PG-13
 
 
 
 
PG-13
R
R
 
PG-13
 
 
 
 
PG-13
 
 
R
R
 
R
R
 
R
PG
 
 
 
 
R
R
R
 
 
R
 
 
 
 
 
R
 
PG-13
 
PG-13
PG-13
 
 
R
 
 
 
 
 
R
 
 
R
 
 
 
 
 
 
 
 
PG-13
 
 
 
 
 
 
R
 
 
 
PG-13
 
 
PG-13
 
 
 
R
 
 
 
 
 
 
 
PG-13
PG-13
 
 
 
 
R
 
PG-13
 
 
R
 
PG-13
PG-13
PG-13
 
 
 
 
 
PG-13
 
R
 
 
 
 
 
 
PG-13
R
 
 
R
 
 
 
 
 
 
R
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
PG-13
R
 
 
 
R
R
 
 
PG
 
 
 
PG
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
R
 
 
 
 
 
 
R
PG-13
PG-13
 
 
 
 
 
 
 
PG-13
PG-13
R
 
R
 
R
R
R
 
 
 
 
 
 
 
 
 
G
 
 
R
 
PG-13
 
 
R
PG-13
PG-13
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
R
 
 
 
R
 
 
 
R
 
 
 
 
 
R
 
 
 
 
 
R
 
R
 
R
 
 
 
 
 
 
PG-13
PG-13
R
 
R
 
 
PG-13
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
R
 
R
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
R
 
R
 
 
 
 
 
 
PG-13
 
R
R
 
 
 
PG
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
 
 
 
 
 
PG-13
R
 
 
 
R
PG-13
 
R
 
 
PG-13
 
 
 
R
 
 
 
 
 
 
PG
R
 
R
 
 
R
R
 
 
PG-13
R
 
 
PG-13
 
 
 
R
 
 
 
 
R
R
 
 
 
R
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
 
R
PG-13
 
 
R
 
PG-13
 
PG-13
 
 
 
 
PG-13
 
R
R
PG
PG-13
 
 
 
R
 
 
 
PG
 
 
 
PG-13
 
 
 
 
 
Approved
PG-13
R
 
 
 
PG-13
PG-13
 
 
R
R
 
 
 
R
 
R
 
 
 
 
R
 
 
 
 
 
 
R
 
Not Rated
 
PG-13
R
 
 
 
 
 
 
 
 
R
 
R
 
PG-13
R
 
 
 
 
PG-13
 
 
 
 
 
 
 
PG-13
PG-13
PG-13
 
 
 
 
 
 
 
 
R
 
PG-13
 
 
 
 
 
 
R
R
 
R
 
R
 
R
 
 
 
 
 
 
 
PG-13
PG-13
R
 
 
 
 
R
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
R
 
 
R
 
 
R
 
 
 
 
 
R
 
 
 
 
R
R
 
 
 
 
 
 
 
 
PG-13
 
 
R
 
 
 
 
 
 
 
 
 
 
R
 
 
PG-13
 
 
 
 
R
 
 
 
 
 
R
 
PG-13
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
PG
 
PG-13
 
 
 
 
 
 
R
 
 
 
PG-13
R
 
PG-13
 
R
R
 
 
 
 
 
 
 
R
 
R
R
R
PG-13
 
 
 
 
 
 
 
R
R
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
R
 
 
R
PG-13
 
 
R
 
 
R
 
 
 
 
 
 
PG-13
PG
 
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
 
 
R
 
 
R
 
 
 
R
 
 
 
 
PG-13
 
R
R
 
 
R
 
 
 
 
 
 
 
R
 
R
R
 
 
 
R
 
 
 
 
R
 
 
 
 
R
 
 
R
 
PG-13
R
 
 
 
 
 
R
R
 
 
 
 
 
 
 
 
 
PG
 
R
R
R
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
R
 
R
R
 
 
PG-13
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
PG-13
R
 
 
R
PG-13
R
 
 
 
PG
 
 
 
 
 
R
PG
 
R
 
PG-13
 
 
 
 
 
 
 
 
 
 
PG-13
 
 
R
 
R
 
 
R
R
 
 
 
 
 
 
PG-13
 
 
R
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
R
 
R
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
PG-13
 
 
 
 
 
PG-13
 
 
 
 
PG-13
 
R
 
 
R
 
 
 
R
 
 
 
 
 
 
 
 
PG-13
 
PG
 
PG-13
 
R
 
R
 
 
 
R
 
 
 
PG
 
Not Rated
R
 
 
 
R
 
 
 
 
 
 
 
R
 
R
 
 
 
 
R
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
R
 
 
R
 
 
 
 
R
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
G
 
 
 
 
 
 
 
 
R
 
 
 
 
R
PG-13
 
 
 
 
 
 
R
 
 
 
 
PG-13
 
 
 
 
 
 
 
R
PG-13
 
 
 
 
 
R
 
 
 
R
R
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
R
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
R
 
PG-13
 
R
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
G
 
 
 
 
 
R
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
R
R
R
 
 
R
R
R
 
R
 
 
 
 
PG-13
 
 
 
 
 
 
 
R
 
PG
 
R
 
R
 
 
 
 
R
 
 
 
 
R
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
R
 
 
R
 
 
 
 
R
 
 
PG-13
 
R
 
 
 
 
 
 
 
R
 
 
 
 
R
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
NC-17
PG-13
 
 
 
 
R
R
 
 
 
 
PG-13
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
R
 
 
 
 
PG
 
 
 
 
 
R
 
 
 
 
 
 
R
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
R
 
R
 
 
 
R
 
 
PG
 
 
 
 
 
PG-13
R
 
R
 
 
R
 
 
 
 
 
 
R
 
 
R
PG
 
G
 
 
 
PG-13
 
R
 
 
 
PG-13
 
 
 
 
R
PG-13
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
R
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
R
 
 
 
 
PG
 
 
 
 
 
 
 
 
R
 
 
 
R
 
PG-13
R
 
R
R
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
R
 
 
 
 
 
 
R
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
R
 
R
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
 
 
R
PG-13
 
 
R
 
 
 
PG
 
 
 
 
Not Rated
Not Rated
 
 
 
 
 
 
 
 
 
 
PG-13
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
R
 
 
 
 
 
 
R
 
R
PG-13
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
 
PG-13
 
 
 
 
 
 
 
 
 
R
 
 
 
 
PG
 
 
 
 
 
 
 
 
 
R
 
PG-13
 
 
 
 
 
 
 
 
 
 
 
 
 
 
PG
R
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
PG-13
PG-13
R
R
 
 
 
 
PG-13
 
 
 
 
R
 
 
 
 
 
R
 
R
 
R
PG-13
 
 
 
 
 
 
 
 
 
R
 
R
 
 
R
R
 
 
R
R
 
 
 
 
 
 
PG-13
 
 
 
R
 
R
 
 
 
R
 
 
 
 
R
 
 
PG-13
 
 
 
R
 
R
 
 
R
R
 
 
 
 
 
 
 
 
 
 
PG-13
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
PG-13
 
 
R
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
R
 
 
 
 
PG-13
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
PG
 
PG
 
 
 
 
 
 
 
 
 
R
 
R
 
 
 
 
 
 
PG-13
R
 
 
 
 
 
 
PG
 
 
R
 
R
 
 
 
 
 
 
 
 
 
R
R
 
 
 
 
 
 
 
 
 
 
R
 
 
R
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
R
PG-13
 
 
 
PG-13
 
 
 
 
 
 
 
R
 
 
 
R
 
 
 
 
R
 
 
 
 
 
PG
 
 
 
PG-13
 
R
R
PG
 
 
 
 
 
 
 
 
R
G
 
 
 
 
 
 
 
 
PG
 
 
 
 
 
 
 
 
 
 
 
 
 
R
 
R
 
 
R
R
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
PG-13
 
 
 
R
 
 
 
 
 
 
 
 
R
 
 
 
 
 
 
 
 
 
 
 
R
R
 
 
 
 
 
 
 
 
R
 
PG-13
R
 
R
 
 
 
 
 
 
 
 
PG-13
PG-13
 
 
PG-13
 
 
 
 
 
R
 
 
 
PG-13
 
 
R
 
R
 
 
